ClienteID;Edad;GeneroID;Ingresos;FrecuenciaID;Frecuencia;TiposCocinaID;TiposCocina;MomentoDelDiaID;MomentoDelDia;CantidadPorGrupo;OcasionID;Ocasión;Fidelidad;Fecha;GastoProm;InTakeAwayID;ReservaOnline;DeliveryOrden;TiempoEspera;RatingServicio;RatingComida;RatingAmbiente;RatingAlto
33;35;0;79963;1;Monthly;3;Mexican;0;Breakfast;2;0;Business;1;3/7/2023;144;1;1;0;27;3;1;3;0
34;65;1;92930;0;Rarely;4;Italian;1;Lunch;3;2;Celebration;0;3/7/2023;144;0;0;0;42;1;2;2;0
35;47;1;50567;3;Daily;1;Indian;1;Lunch;1;0;Business;1;3/7/2023;81;1;0;1;11;4;1;4;1
36;46;0;84767;2;Weekly;1;Indian;2;Dinner;2;2;Celebration;1;3/7/2023;11;0;0;0;43;5;2;5;0
37;38;1;35769;0;Rarely;4;Italian;1;Lunch;1;2;Celebration;1;3/7/2023;72;1;0;0;45;5;3;5;0
38;50;1;52640;1;Monthly;4;Italian;0;Breakfast;2;0;Business;1;3/7/2023;114;0;1;0;13;3;3;1;0
39;23;1;70427;2;Weekly;3;Mexican;1;Lunch;8;0;Business;1;3/7/2023;154;1;0;1;43;5;1;2;0
40;54;1;126716;1;Monthly;3;Mexican;0;Breakfast;1;0;Business;0;3/7/2023;170;0;1;0;48;1;2;4;0
41;67;0;70219;1;Monthly;2;Chinese;2;Dinner;7;1;Casual;1;3/7/2023;115;0;0;1;7;3;5;1;0
42;19;0;122435;0;Rarely;1;Indian;0;Breakfast;8;1;Casual;1;3/7/2023;117;0;0;0;45;3;4;5;0
43;62;1;131995;0;Rarely;4;Italian;2;Dinner;8;2;Celebration;0;3/7/2023;140;0;0;0;56;2;4;2;0
44;30;1;21526;3;Daily;1;Indian;0;Breakfast;1;2;Celebration;0;4/7/2023;108;1;1;0;39;2;1;4;0
45;50;1;123950;0;Rarely;0;American;1;Lunch;8;2;Celebration;0;4/7/2023;190;1;0;1;30;1;5;2;0
46;28;1;105851;2;Weekly;1;Indian;0;Breakfast;5;2;Celebration;0;4/7/2023;157;0;0;0;25;5;1;3;0
47;38;1;83286;1;Monthly;4;Italian;0;Breakfast;3;0;Business;0;4/7/2023;79;0;0;0;23;1;4;2;0
48;59;1;136805;2;Weekly;0;American;2;Dinner;6;2;Celebration;0;4/7/2023;70;1;0;0;24;5;1;4;0
49;28;1;137669;2;Weekly;1;Indian;2;Dinner;8;2;Celebration;0;4/7/2023;51;0;0;0;58;2;2;2;0
50;41;1;98714;1;Monthly;1;Indian;0;Breakfast;1;0;Business;1;4/7/2023;155;1;1;1;43;4;1;4;1
51;48;1;106670;2;Weekly;4;Italian;0;Breakfast;2;2;Celebration;0;4/7/2023;196;0;1;1;52;1;1;4;0
52;30;0;39182;3;Daily;4;Italian;2;Dinner;1;1;Casual;1;4/7/2023;19;1;0;0;44;5;2;4;0
53;46;1;73317;2;Weekly;3;Mexican;1;Lunch;8;0;Business;1;4/7/2023;63;1;0;0;11;2;2;2;0
54;22;1;46093;2;Weekly;3;Mexican;2;Dinner;4;1;Casual;1;4/7/2023;72;1;1;0;18;1;2;2;0
55;36;1;149655;1;Monthly;0;American;2;Dinner;6;2;Celebration;1;4/7/2023;64;0;1;0;5;5;3;1;0
56;44;1;143378;2;Weekly;4;Italian;0;Breakfast;1;0;Business;1;4/7/2023;128;1;0;0;31;5;4;2;0
57;19;1;81440;0;Rarely;2;Chinese;1;Lunch;4;0;Business;1;4/7/2023;80;0;0;0;22;3;5;4;0
58;64;0;22073;2;Weekly;1;Indian;0;Breakfast;3;1;Casual;0;4/7/2023;26;1;0;0;22;5;1;5;0
59;18;1;132427;1;Monthly;4;Italian;0;Breakfast;7;2;Celebration;0;4/7/2023;69;0;0;0;15;3;2;5;0
60;33;0;95965;1;Monthly;0;American;0;Breakfast;1;2;Celebration;0;5/7/2023;23;1;0;0;45;3;3;3;0
61;50;0;35296;2;Weekly;4;Italian;2;Dinner;4;0;Business;0;5/7/2023;128;1;0;0;23;3;3;5;0
62;67;1;45759;1;Monthly;0;American;1;Lunch;6;1;Casual;1;5/7/2023;160;0;0;0;9;5;3;4;0
63;52;0;103379;1;Monthly;2;Chinese;0;Breakfast;1;0;Business;1;5/7/2023;186;0;0;1;40;3;4;2;0
64;21;0;94550;1;Monthly;2;Chinese;1;Lunch;2;2;Celebration;0;5/7/2023;83;0;1;0;24;5;5;1;0
65;33;0;113609;1;Monthly;3;Mexican;0;Breakfast;8;2;Celebration;1;5/7/2023;47;0;1;1;39;1;1;1;0
66;46;0;74785;2;Weekly;3;Mexican;1;Lunch;2;1;Casual;0;5/7/2023;60;1;1;0;47;3;3;2;0
67;64;0;68238;2;Weekly;1;Indian;0;Breakfast;1;0;Business;1;5/7/2023;77;0;1;0;23;2;4;4;1
68;59;1;75129;1;Monthly;2;Chinese;2;Dinner;2;2;Celebration;0;5/7/2023;136;0;0;1;32;4;3;5;0
69;35;0;33384;1;Monthly;1;Indian;0;Breakfast;6;1;Casual;1;5/7/2023;93;1;0;0;17;3;1;1;0
70;56;0;99022;1;Monthly;0;American;1;Lunch;1;0;Business;0;5/7/2023;156;0;1;1;12;5;2;2;0
71;37;0;129956;2;Weekly;1;Indian;1;Lunch;8;2;Celebration;1;5/7/2023;170;1;0;1;33;5;5;1;1
72;43;1;60400;1;Monthly;0;American;0;Breakfast;5;1;Casual;0;5/7/2023;110;1;1;0;34;3;2;3;0
73;35;0;109278;1;Monthly;4;Italian;2;Dinner;6;2;Celebration;0;5/7/2023;171;1;0;1;14;2;3;2;0
74;34;0;138642;1;Monthly;4;Italian;2;Dinner;4;2;Celebration;1;5/7/2023;44;0;1;1;17;3;1;5;0
75;55;0;122223;2;Weekly;2;Chinese;2;Dinner;3;1;Casual;1;5/7/2023;134;1;0;0;45;2;5;3;0
76;30;1;37083;1;Monthly;1;Indian;0;Breakfast;9;2;Celebration;1;5/7/2023;175;0;0;1;35;1;3;5;0
77;53;1;101003;0;Rarely;4;Italian;0;Breakfast;1;2;Celebration;0;5/7/2023;71;1;0;0;22;1;3;3;0
78;40;1;33239;1;Monthly;4;Italian;1;Lunch;7;2;Celebration;0;5/7/2023;170;1;1;1;36;5;4;1;0
79;65;0;132529;2;Weekly;1;Indian;2;Dinner;3;1;Casual;1;5/7/2023;57;1;0;0;5;4;5;5;1
80;42;0;31187;0;Rarely;3;Mexican;1;Lunch;9;2;Celebration;0;5/7/2023;27;0;1;0;52;2;2;4;0
81;66;1;31296;1;Monthly;2;Chinese;2;Dinner;8;1;Casual;1;6/7/2023;181;1;1;0;14;4;4;1;0
82;55;0;147219;1;Monthly;3;Mexican;1;Lunch;6;2;Celebration;0;6/7/2023;59;1;0;0;38;4;3;2;0
83;31;0;81176;1;Monthly;3;Mexican;1;Lunch;4;2;Celebration;0;6/7/2023;176;0;1;0;16;5;1;4;0
84;35;1;62674;1;Monthly;2;Chinese;0;Breakfast;4;1;Casual;0;6/7/2023;55;0;0;0;5;5;4;4;0
85;19;1;63136;1;Monthly;2;Chinese;2;Dinner;3;1;Casual;1;6/7/2023;17;0;1;0;27;2;3;5;0
86;40;1;133056;0;Rarely;3;Mexican;0;Breakfast;6;2;Celebration;0;6/7/2023;73;0;1;1;42;1;2;3;0
87;49;0;69311;3;Daily;2;Chinese;2;Dinner;8;2;Celebration;1;6/7/2023;79;0;1;1;28;2;2;5;1
88;62;1;109896;1;Monthly;0;American;1;Lunch;7;2;Celebration;1;6/7/2023;199;0;1;0;40;3;4;1;0
89;42;1;41414;1;Monthly;1;Indian;2;Dinner;4;2;Celebration;0;6/7/2023;189;0;0;0;50;5;2;4;0
90;56;1;62028;1;Monthly;0;American;1;Lunch;1;2;Celebration;0;6/7/2023;25;0;0;0;53;2;3;5;0
91;60;0;30637;1;Monthly;3;Mexican;1;Lunch;3;2;Celebration;0;6/7/2023;172;0;1;0;31;1;2;5;0
92;59;0;108814;2;Weekly;0;American;2;Dinner;2;0;Business;0;6/7/2023;63;1;0;0;56;1;4;2;0
93;68;0;102517;0;Rarely;4;Italian;2;Dinner;7;2;Celebration;0;6/7/2023;60;0;0;0;7;1;5;2;0
94;67;0;47731;0;Rarely;0;American;2;Dinner;2;2;Celebration;1;6/7/2023;58;1;1;1;6;4;4;1;1
95;64;1;40967;1;Monthly;3;Mexican;2;Dinner;4;0;Business;1;6/7/2023;102;0;0;0;20;3;2;3;0
96;20;1;147362;0;Rarely;1;Indian;1;Lunch;2;0;Business;0;6/7/2023;45;1;0;0;50;4;3;4;0
97;62;0;30306;1;Monthly;2;Chinese;2;Dinner;6;1;Casual;1;6/7/2023;129;0;0;0;54;3;5;5;0
98;53;0;99064;2;Weekly;1;Indian;1;Lunch;8;1;Casual;0;6/7/2023;47;1;0;1;7;1;1;5;0
99;28;0;69615;2;Weekly;1;Indian;0;Breakfast;8;1;Casual;1;6/7/2023;50;1;0;1;1;5;5;5;1
100;49;0;97990;2;Weekly;4;Italian;0;Breakfast;3;0;Business;1;6/7/2023;96;0;0;1;48;3;5;1;0
101;22;1;129622;2;Weekly;4;Italian;1;Lunch;1;2;Celebration;1;6/7/2023;49;0;0;1;53;2;3;5;0
102;57;1;104198;2;Weekly;4;Italian;1;Lunch;6;0;Business;1;7/7/2023;129;1;0;0;3;4;3;4;0
103;62;0;115722;0;Rarely;3;Mexican;2;Dinner;1;1;Casual;0;7/7/2023;21;1;0;0;53;2;1;3;0
104;62;0;137673;1;Monthly;1;Indian;0;Breakfast;7;0;Business;0;7/7/2023;86;0;1;0;60;1;4;4;0
105;46;0;90343;0;Rarely;4;Italian;2;Dinner;8;0;Business;1;7/7/2023;113;1;0;0;39;3;4;5;0
106;36;1;23323;1;Monthly;4;Italian;2;Dinner;7;2;Celebration;1;7/7/2023;188;0;1;0;24;2;5;1;0
107;65;0;76833;2;Weekly;4;Italian;0;Breakfast;9;0;Business;1;7/7/2023;119;0;0;1;50;4;5;5;0
108;27;1;79161;0;Rarely;1;Indian;0;Breakfast;3;2;Celebration;0;7/7/2023;148;0;1;1;57;4;4;3;0
109;19;0;144849;2;Weekly;1;Indian;0;Breakfast;9;1;Casual;0;7/7/2023;56;1;1;0;45;2;2;5;0
110;31;0;77620;1;Monthly;3;Mexican;0;Breakfast;3;2;Celebration;0;7/7/2023;149;1;1;1;37;1;1;4;0
111;46;0;112626;2;Weekly;3;Mexican;0;Breakfast;2;2;Celebration;1;7/7/2023;164;0;0;1;9;3;2;5;1
112;50;1;62418;0;Rarely;2;Chinese;0;Breakfast;7;0;Business;0;7/7/2023;192;0;0;1;35;5;2;2;0
113;61;0;96506;1;Monthly;2;Chinese;1;Lunch;7;0;Business;1;7/7/2023;83;0;0;0;8;3;5;5;0
114;26;0;103668;2;Weekly;0;American;2;Dinner;7;0;Business;1;7/7/2023;184;1;1;1;53;4;2;2;0
115;23;0;39932;2;Weekly;3;Mexican;0;Breakfast;5;0;Business;1;7/7/2023;197;1;0;1;25;4;3;5;0
116;47;0;88700;0;Rarely;2;Chinese;0;Breakfast;4;1;Casual;1;7/7/2023;145;0;0;0;9;2;4;5;0
117;60;0;92277;0;Rarely;4;Italian;2;Dinner;5;0;Business;0;7/7/2023;165;0;1;0;32;1;5;3;0
118;66;0;47508;2;Weekly;0;American;1;Lunch;7;1;Casual;1;7/7/2023;40;1;0;0;4;1;2;2;0
119;37;1;66867;1;Monthly;4;Italian;0;Breakfast;9;0;Business;1;7/7/2023;11;0;0;0;18;2;4;3;0
120;40;1;59224;0;Rarely;2;Chinese;0;Breakfast;7;0;Business;1;7/7/2023;163;0;0;0;50;4;4;3;0
121;62;1;142534;1;Monthly;1;Indian;1;Lunch;7;0;Business;1;7/7/2023;61;0;0;1;15;2;2;5;0
122;63;1;132716;2;Weekly;3;Mexican;0;Breakfast;1;2;Celebration;0;7/7/2023;178;1;1;0;46;1;5;2;0
123;20;1;38189;1;Monthly;3;Mexican;2;Dinner;1;1;Casual;0;7/7/2023;81;1;1;1;26;1;4;2;0
124;42;1;60474;2;Weekly;1;Indian;1;Lunch;1;0;Business;0;7/7/2023;195;1;0;1;0;4;1;2;0
125;60;1;71105;2;Weekly;1;Indian;0;Breakfast;5;2;Celebration;0;7/7/2023;11;0;0;0;12;2;5;1;0
126;44;0;38493;0;Rarely;4;Italian;1;Lunch;5;1;Casual;0;8/7/2023;12;1;0;1;27;1;4;3;0
127;23;0;84982;2;Weekly;4;Italian;2;Dinner;3;1;Casual;1;8/7/2023;95;0;1;1;2;3;4;3;1
128;65;1;59454;1;Monthly;4;Italian;2;Dinner;4;0;Business;0;8/7/2023;155;0;0;1;24;3;5;4;0
129;67;1;84121;1;Monthly;4;Italian;1;Lunch;8;1;Casual;1;8/7/2023;72;0;0;0;42;2;1;4;0
130;63;1;140124;1;Monthly;2;Chinese;2;Dinner;4;2;Celebration;1;8/7/2023;65;0;0;0;17;4;1;2;0
131;68;1;94282;1;Monthly;3;Mexican;1;Lunch;9;2;Celebration;0;8/7/2023;182;1;1;0;39;5;4;1;0
132;24;0;31796;3;Daily;4;Italian;2;Dinner;9;0;Business;0;8/7/2023;55;0;0;0;56;3;5;5;0
133;27;0;56966;1;Monthly;4;Italian;0;Breakfast;9;2;Celebration;0;8/7/2023;33;1;0;0;59;3;3;1;0
134;50;1;64939;1;Monthly;2;Chinese;1;Lunch;4;1;Casual;0;8/7/2023;113;1;0;1;46;3;4;2;0
135;25;0;117497;1;Monthly;2;Chinese;0;Breakfast;6;2;Celebration;0;8/7/2023;125;1;0;0;18;4;2;3;0
136;30;0;46377;3;Daily;4;Italian;1;Lunch;6;0;Business;0;8/7/2023;20;1;0;1;28;1;3;2;0
137;58;1;97030;2;Weekly;0;American;2;Dinner;3;1;Casual;1;8/7/2023;158;0;0;0;28;2;5;2;0
138;67;0;117452;3;Daily;1;Indian;1;Lunch;4;0;Business;1;8/7/2023;175;0;1;1;45;1;5;5;1
139;57;1;101362;2;Weekly;3;Mexican;1;Lunch;3;2;Celebration;1;8/7/2023;98;0;1;0;25;1;1;1;0
140;65;0;60717;3;Daily;3;Mexican;0;Breakfast;1;1;Casual;1;8/7/2023;66;1;0;1;50;2;3;2;0
141;67;1;52717;0;Rarely;1;Indian;0;Breakfast;8;2;Celebration;1;8/7/2023;72;1;0;1;4;5;2;4;1
142;35;1;78909;0;Rarely;0;American;2;Dinner;6;1;Casual;1;8/7/2023;32;1;1;0;30;3;2;4;0
143;63;0;130870;2;Weekly;1;Indian;2;Dinner;7;0;Business;0;8/7/2023;76;0;1;0;43;3;4;1;0
144;59;0;149006;2;Weekly;3;Mexican;1;Lunch;9;2;Celebration;0;8/7/2023;156;1;0;0;49;3;1;1;0
145;42;0;120750;0;Rarely;0;American;1;Lunch;1;2;Celebration;0;8/7/2023;183;0;1;0;2;1;5;1;0
146;39;0;97583;0;Rarely;1;Indian;2;Dinner;1;2;Celebration;0;8/7/2023;124;0;0;0;46;3;4;5;0
147;43;0;32863;1;Monthly;2;Chinese;2;Dinner;5;0;Business;1;8/7/2023;181;0;0;1;51;3;4;1;0
148;52;0;111967;0;Rarely;0;American;1;Lunch;8;1;Casual;0;8/7/2023;138;1;0;1;21;2;5;4;0
149;52;0;143420;0;Rarely;3;Mexican;1;Lunch;5;2;Celebration;1;8/7/2023;177;1;0;0;44;3;3;3;0
150;66;1;28073;2;Weekly;2;Chinese;2;Dinner;3;2;Celebration;1;8/7/2023;167;0;0;0;1;5;1;1;0
151;22;1;120539;3;Daily;2;Chinese;1;Lunch;9;1;Casual;1;8/7/2023;92;0;0;1;27;5;2;3;0
152;34;1;112055;0;Rarely;0;American;1;Lunch;9;1;Casual;0;8/7/2023;167;1;0;1;31;4;3;4;0
153;53;1;48489;2;Weekly;1;Indian;2;Dinner;1;1;Casual;1;8/7/2023;170;0;1;0;40;2;4;3;0
154;57;1;142449;0;Rarely;4;Italian;0;Breakfast;5;0;Business;0;8/7/2023;103;0;0;0;42;2;3;5;0
155;58;1;132047;2;Weekly;0;American;2;Dinner;7;0;Business;1;9/7/2023;21;0;0;0;15;5;5;1;0
156;42;0;84666;1;Monthly;4;Italian;0;Breakfast;7;1;Casual;0;9/7/2023;84;1;1;0;22;2;4;2;0
157;46;1;109006;0;Rarely;4;Italian;2;Dinner;8;0;Business;1;9/7/2023;52;0;0;0;40;3;5;1;0
158;59;0;43697;1;Monthly;4;Italian;0;Breakfast;6;2;Celebration;1;9/7/2023;51;1;0;0;6;1;3;4;0
159;41;1;132528;2;Weekly;2;Chinese;2;Dinner;2;2;Celebration;0;9/7/2023;165;1;0;1;20;2;2;5;1
160;22;1;90630;1;Monthly;0;American;1;Lunch;4;1;Casual;0;9/7/2023;11;0;1;1;5;2;4;1;0
161;25;0;30580;2;Weekly;1;Indian;1;Lunch;7;2;Celebration;1;9/7/2023;198;0;0;0;52;1;2;5;0
162;30;1;106716;1;Monthly;3;Mexican;0;Breakfast;1;2;Celebration;1;9/7/2023;80;1;0;0;60;2;1;4;0
163;23;0;107630;0;Rarely;4;Italian;2;Dinner;2;2;Celebration;0;9/7/2023;96;1;0;0;52;4;4;5;0
164;50;1;114661;0;Rarely;0;American;1;Lunch;5;2;Celebration;1;9/7/2023;135;0;0;1;59;2;2;1;0
165;38;0;124096;2;Weekly;2;Chinese;0;Breakfast;5;0;Business;1;9/7/2023;118;1;0;0;5;1;5;4;0
166;44;0;78605;0;Rarely;3;Mexican;2;Dinner;3;2;Celebration;0;9/7/2023;155;0;0;1;0;2;3;5;0
167;55;1;25889;1;Monthly;2;Chinese;0;Breakfast;9;1;Casual;0;9/7/2023;37;0;0;0;23;5;1;2;0
168;59;1;66116;0;Rarely;3;Mexican;1;Lunch;8;2;Celebration;0;9/7/2023;52;0;1;0;26;1;4;1;0
169;39;0;81042;1;Monthly;3;Mexican;1;Lunch;8;0;Business;1;9/7/2023;114;1;0;1;52;1;5;2;0
170;40;0;96164;1;Monthly;4;Italian;2;Dinner;1;1;Casual;1;9/7/2023;59;0;0;0;31;4;4;4;0
171;28;0;55083;1;Monthly;1;Indian;2;Dinner;6;1;Casual;0;9/7/2023;177;0;0;0;54;5;2;4;0
172;47;0;81504;2;Weekly;3;Mexican;1;Lunch;3;2;Celebration;1;9/7/2023;200;1;0;0;6;5;2;2;1
173;56;1;136815;1;Monthly;0;American;2;Dinner;4;0;Business;1;9/7/2023;45;1;0;0;48;2;5;1;0
174;61;0;105862;2;Weekly;3;Mexican;2;Dinner;7;2;Celebration;0;9/7/2023;46;1;1;0;44;2;4;4;0
175;34;0;64756;2;Weekly;3;Mexican;0;Breakfast;4;1;Casual;1;9/7/2023;115;0;0;1;51;2;4;1;0
176;43;1;148425;2;Weekly;1;Indian;2;Dinner;3;0;Business;0;9/7/2023;53;0;0;1;24;1;3;4;0
177;18;1;88711;2;Weekly;4;Italian;2;Dinner;9;2;Celebration;1;9/7/2023;168;0;1;0;13;1;5;5;1
178;49;1;37343;1;Monthly;2;Chinese;2;Dinner;8;1;Casual;1;9/7/2023;89;1;0;1;33;1;2;1;0
179;42;1;23262;2;Weekly;2;Chinese;0;Breakfast;6;2;Celebration;0;9/7/2023;99;0;0;0;16;3;5;3;0
180;59;1;138471;2;Weekly;1;Indian;1;Lunch;5;0;Business;0;9/7/2023;14;1;1;0;48;4;1;2;0
181;35;0;69161;0;Rarely;2;Chinese;1;Lunch;3;2;Celebration;1;10/7/2023;161;0;0;0;8;3;5;2;0
182;57;1;85820;3;Daily;2;Chinese;0;Breakfast;5;1;Casual;1;10/7/2023;79;1;0;1;43;1;2;3;0
183;69;0;124582;2;Weekly;0;American;0;Breakfast;8;0;Business;0;10/7/2023;36;0;0;0;27;1;5;3;0
184;37;0;81926;3;Daily;1;Indian;1;Lunch;8;1;Casual;1;10/7/2023;51;1;0;0;56;2;5;2;0
185;52;0;100057;1;Monthly;1;Indian;0;Breakfast;7;0;Business;0;10/7/2023;128;1;0;1;11;4;3;1;0
186;69;1;51842;1;Monthly;0;American;2;Dinner;5;2;Celebration;0;10/7/2023;91;1;0;0;59;3;5;4;0
187;23;0;56374;0;Rarely;4;Italian;1;Lunch;5;0;Business;0;10/7/2023;31;1;1;1;51;5;1;3;0
188;19;1;59251;1;Monthly;1;Indian;2;Dinner;6;1;Casual;0;10/7/2023;124;1;0;1;20;4;3;3;0
189;65;1;82771;0;Rarely;3;Mexican;0;Breakfast;7;2;Celebration;0;10/7/2023;100;0;1;0;33;5;3;4;0
190;53;0;38928;3;Daily;4;Italian;2;Dinner;7;0;Business;1;10/7/2023;82;0;1;1;17;2;2;5;0
191;55;1;132925;1;Monthly;1;Indian;0;Breakfast;2;0;Business;0;10/7/2023;105;1;0;1;2;2;5;2;0
192;53;1;117007;1;Monthly;0;American;0;Breakfast;9;1;Casual;1;10/7/2023;31;1;0;0;13;1;2;2;0
193;46;1;58377;0;Rarely;2;Chinese;0;Breakfast;4;0;Business;0;10/7/2023;191;1;0;0;49;4;5;5;0
194;33;1;37228;2;Weekly;3;Mexican;0;Breakfast;2;0;Business;1;10/7/2023;16;0;0;0;53;1;5;4;0
195;31;1;33733;0;Rarely;4;Italian;0;Breakfast;2;1;Casual;1;10/7/2023;24;0;0;0;51;4;4;3;0
196;18;1;26732;3;Daily;2;Chinese;2;Dinner;8;0;Business;0;10/7/2023;178;0;1;1;33;4;5;1;0
197;40;0;37366;1;Monthly;2;Chinese;1;Lunch;7;1;Casual;0;10/7/2023;30;0;0;1;30;3;2;4;0
198;28;1;135894;0;Rarely;2;Chinese;0;Breakfast;8;0;Business;0;10/7/2023;173;0;0;1;59;1;2;3;0
199;67;1;63976;1;Monthly;0;American;0;Breakfast;4;1;Casual;0;10/7/2023;65;1;0;1;22;5;3;1;0
200;59;0;104089;1;Monthly;4;Italian;0;Breakfast;8;0;Business;0;10/7/2023;141;0;0;0;45;5;2;1;0
201;65;1;33024;2;Weekly;2;Chinese;0;Breakfast;4;0;Business;1;10/7/2023;184;1;0;1;30;4;2;2;0
202;58;0;30928;0;Rarely;4;Italian;2;Dinner;2;0;Business;1;10/7/2023;16;1;0;0;16;4;5;5;0
203;46;0;42055;0;Rarely;2;Chinese;0;Breakfast;8;1;Casual;1;10/7/2023;57;0;1;0;36;5;3;2;0
204;60;1;39596;2;Weekly;2;Chinese;0;Breakfast;7;0;Business;1;10/7/2023;17;0;0;0;23;5;4;5;0
205;27;0;29233;1;Monthly;0;American;2;Dinner;5;1;Casual;1;10/7/2023;137;0;0;1;12;5;2;3;0
206;54;0;114257;1;Monthly;3;Mexican;1;Lunch;9;1;Casual;1;10/7/2023;126;0;0;0;50;3;1;2;0
207;32;1;77834;3;Daily;2;Chinese;1;Lunch;7;2;Celebration;0;11/7/2023;64;0;0;1;5;2;2;5;0
208;26;0;114739;1;Monthly;2;Chinese;2;Dinner;5;1;Casual;0;11/7/2023;99;1;0;0;15;5;1;4;0
209;51;1;103678;3;Daily;2;Chinese;1;Lunch;8;2;Celebration;0;11/7/2023;111;1;0;1;13;4;1;4;1
210;22;1;60978;1;Monthly;2;Chinese;2;Dinner;2;2;Celebration;1;11/7/2023;21;0;0;0;32;2;2;1;0
211;54;1;92219;2;Weekly;3;Mexican;1;Lunch;7;2;Celebration;1;11/7/2023;161;0;0;1;47;4;3;1;0
